book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
winnie_the_pooh,Bear,Christopher Robin,"Bear went on and on , using longer and longer words , until at last Bear came back to where Bear started , and Bear explained that the person to write out this notice was Christopher Robin",explained,"But Bear went on and on , using longer and longer words , until at last Bear came back to where Bear started , and Bear explained that the person to write out this notice was Christopher Robin .",-0.8756405264139175,0.9993996620178223,-0.9120507314801216,8716.0,0.0,0.0,0.0,"{'Christopher Robin', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Christopher Robin,"Bear felt that it was rather beneath Bear to talk about little cake things with pink sugar icing , so Bear told Pooh exactly what Christopher Robin Robin had said",told,"Bear felt that it was rather beneath Bear to talk about little cake things with pink sugar icing , so Bear told Pooh exactly what Christopher Robin Robin had said , and flew off to Eeyore .",-0.3592492938041687,-0.13295823335647583,-0.8876413851976395,29480.0,0.0,0.0,0.0,"{'Christopher Robin', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Christopher Robin,"Bear said Hallo , Pooh , in a kindly way , and went on telling Christopher Robin Robin about an accident which had nearly happened to a friend of Bear whom Christopher Robin did nt know",went,""" -- and Bear said Hallo , Pooh , in a kindly way , and went on telling Christopher Robin Robin about an accident which had nearly happened to a friend of Bear whom Christopher Robin did nt know , and Kanga said to Pooh , Drink up Pooh milk first , dear , and talk afterwards .",0.9862962961196899,0.9995723962783813,0.96761155128479,30471.0,0.5106,0.7096,0.0,"{'Christopher Robin', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Christopher Robin,"Bear said Hallo , Pooh , in a kindly way , and went on telling Christopher Robin Robin about an accident which had nearly happened to a friend of Bear whom Christopher Robin did nt know",telling,""" -- and Bear said Hallo , Pooh , in a kindly way , and went on telling Christopher Robin Robin about an accident which had nearly happened to a friend of Bear whom Christopher Robin did nt know , and Kanga said to Pooh , Drink up Pooh milk first , dear , and talk afterwards .",0.9862962961196899,0.999737024307251,0.96761155128479,30471.0,0.5106,0.7096,0.0,"{'Christopher Robin', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Eeyore,said Bear to Eeyore,said,said Bear to Eeyore .,0.9984605312347412,0.9940192699432373,0.9979599714279175,23112.0,0.0,0.0,0.0,"{'Eeyore', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Eeyore,Bear was talking to Eeyore,talking,"- While this was going on inside Pooh , Bear was talking to Eeyore .",0.9981920719146729,0.999060869216919,0.810117244720459,29958.0,0.0,0.0,0.0,"{'Eeyore', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Kanga,Bear was telling Kanga an Interesting Anecdote full of long words like Encyclope6dia and Rhododendron to which Kanga was nt listening,telling,"Pooh was washing Pooh face and paws in the stream , while Kanga explained to Little Piglet proudly that this was the first time Kanga had ever washed Kanga face himself , and Bear was telling Kanga an Interesting Anecdote full of long words like Encyclope6dia and Rhododendron to which Kanga was nt listening .",-0.9989419062621891,0.999737024307251,-0.9888400435447693,24188.0,0.6369,0.8187,0.0,"{'Kanga', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Little Piglet,"Yes , and Pooh wanted to ask Bear----Little Piglet has been keeping honey in it , said",said,"Yes , and Pooh wanted to ask Bear----Little Piglet has been keeping honey in it , said Bear .",0.8054612874984741,0.9940192699432373,0.9236630201339722,14771.0,0.4019,0.4019,0.0,"{'Little Piglet', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Little Piglet,"Bear think Little Pigletre all right ,",think,"Do Bear think Little Pigletre all right , Bear ?",0.99936842918396,0.999706506729126,0.5793180465698242,27808.0,0.0,0.0,0.0,"{'Little Piglet', 'Bear'}",Winnie the Pooh
winnie_the_pooh,Bear,Little Piglet,"Little Piglet , said Bear",said,"Little Piglet , said Bear sulkily .",0.998755693435669,0.9940192699432373,-0.9552382603287697,30174.0,0.0,0.0,0.0,"{'Little Piglet', 'Bear'}",Winnie the Pooh
