book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
harry_potter_book_1,Dudley,Harry,Harry wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched,punched,Harry wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched Harry on the nose .,-0.9881153153255582,-0.9982947431271896,-0.9978470366913825,6699.0,0.0,0.0,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,Dudley looked like Harry,looked,Harry often said that Dudley looked like Harry - Harry often said that Dudley looked like a pig in a wig .,0.25853443145751953,0.9936122894287109,-0.9905640194192529,6965.0,0.3612,0.6124,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,"Dudley said , looking up at Harry and father",looking,"Thirty - six , Dudley said , looking up at Harry and father .",0.9805753231048584,0.9996346235275269,0.9973934888839722,7026.0,0.0,0.0,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,"Dudley , Dudley have nt counted Harrys present",counted,"Dudley , Dudley have nt counted Harrys present , see , its here under this big one from Harry and Daddy .",-0.9374748840928078,0.9985600709915161,-0.5592785775661469,7053.0,0.0,0.0,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over",began,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over .",-0.251748263835907,0.9996174573898315,-0.28456181287765503,7103.0,-0.128,-0.128,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon",wolfing,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over .",-0.44377601146698,-0.49170154333114624,-0.28456181287765503,7103.0,-0.128,-0.128,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,"Dudley was nt really crying - it had been years since Dudleyd really cried - but Dudley knew that if Dudley screwed up Dudley face and wailed , Harry would give Dudley anything Dudley wanted",knew,"In fact , Dudley was nt really crying - it had been years since Dudleyd really cried - but Dudley knew that if Dudley screwed up Dudley face and wailed , Harry would give Dudley anything Dudley wanted .",-0.08320736885070801,0.999701738357544,0.03584945201873779,7791.0,-0.8148,-0.8148,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,Harry was usually the one who held Harrys arms behind Harry backs while Dudley hit,hit,Harry was usually the one who held Harrys arms behind Harry backs while Dudley hit Harry .,-0.9396659769117832,0.999683141708374,-0.9734872616827488,7978.0,-0.0516,-0.0516,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,Dudleys gang had been chasing Harry,chasing,"Dudleys gang had been chasing Harry as usual when , as much to Harrys surprise as anyone elses , there Harry was sitting on the chimney .",-0.5099180936813354,0.9996215105056763,0.6797906160354614,8455.0,0.0,0.2732,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry_potter_book_1,Dudley,Harry,Harry knew that Dudleys gang hated,hated,"Harry knew that Dudleys gang hated Harry , and Harry liked to disagree with Dudleys gang .",-0.9289244785904884,-0.999362395668868,0.4465082883834839,10356.0,-0.6369,-0.6124,-0.6369,"{'Dudley', 'Harry'}",Harry Potter Book 1
