book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
harry potter book 1,Dudley,Harry,Dudleys gang hated that odd Harry Potter in his baggy old clothes and broken glasses,hated,"Everybody knew that Dudleys gang hated that odd Harry Potter in his baggy old clothes and broken glasses , and nobody liked to disagree with Dudleys gang .",-0.9994325595907867,-0.999362395668868,-0.6630598902702332,10356.0,-0.8625,-0.8555,-0.6369,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,Dudley asked Harry,asked,Dudley asked Harry in amazement .,-0.10691124200820923,0.9990212917327881,0.9201611280441284,13630.0,0.0,0.5423,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,Dudley had always taken anything that Harry really wanted,taken,"Dudley had always taken anything that Harry really wanted , even if it made him sick .",0.3667832612991333,-0.999544776219409,0.992627739906311,41100.0,0.0,-0.5106,0.0,"{'Dudley', 'Harry'}",Harry Potter Book 1
harry potter book 1,Dudley,Uncle Vernon,Dudley looked a lot like Uncle Vernon,looked,Dudley looked a lot like Uncle Vernon .,0.9690204858779907,0.9936122894287109,0.8682689666748047,6926.0,0.3612,0.3612,0.0,"{'Uncle Vernon', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dumbledore,Hagrid,"I would trust Hagrid with my life , said Dumbledore",said,"I would trust Hagrid with my life , said Dumbledore .",0.9801872968673706,0.9940192699432373,0.9822489023208618,4880.0,0.5106,0.5106,0.0,"{'Hagrid', 'Dumbledore'}",Harry Potter Book 1
harry potter book 1,Dumbledore,Harry,Dumbledore took Harry,took,Dumbledore took Harry in his arms and turned toward the Dursleys house .,-0.9974402454681695,0.18745028972625732,0.9979609251022339,5349.0,0.0,0.0,0.0,"{'Harry', 'Dumbledore'}",Harry Potter Book 1
harry potter book 1,Dumbledore,Harry,NICHOLAS FLAMBL Dumbledore had convinced Harry,convinced,"NICHOLAS FLAMBL Dumbledore had convinced Harry not to go looking for the Mirror of Erised again , and for the rest of the Christmas holidays the Invisibility Cloak stayed folded at the bottom of his trunk .",0.9497096538543701,0.9995697736740112,-0.9332852512598038,70861.0,0.4019,0.6486,0.4019,"{'Harry', 'Dumbledore'}",Harry Potter Book 1
harry potter book 1,Dursley,Dudley,The Dursley s had a small son called Dudley,had,The Dursley s had a small son called Dudley and in their opinion there was no finer boy anywhere .,0.9854891300201416,0.9996227025985718,0.9996436834335327,139.0,0.0,-0.296,0.0,"{'Dursley', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dursley,Dudley,"Mr. Dursley picked up his briefcase , pecked Mrs. Dursley on the cheek , and tried to kiss Dudley good - bye",tried,"At half past eight , Mr. Dursley picked up his briefcase , pecked Mrs. Dursley on the cheek , and tried to kiss Dudley good - bye but missed , because Dudley was now having a tantrum and throwing his cereal at the walls .",-0.8535362482070923,0.9995204210281372,-0.9966190312989056,412.0,0.6908,-0.5647,0.0,"{'Dursley', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dursley,Dudley,"Mr. Dursley picked up his briefcase , pecked Mrs. Dursley on the cheek , and tried to kiss Dudley",kiss,"At half past eight , Mr. Dursley picked up his briefcase , pecked Mrs. Dursley on the cheek , and tried to kiss Dudley good - bye but missed , because Dudley was now having a tantrum and throwing his cereal at the walls .",0.2957988977432251,0.9997141361236572,-0.9966190312989056,412.0,0.4215,-0.5647,0.4215,"{'Dursley', 'Dudley'}",Harry Potter Book 1
