book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
harry potter book 1,Dudley,Dursley,"Dudley , chortled Dursley",chortled,"Dudley , chortled Dursley as Dursley left the house .",0.5455911159515381,0.999060869216919,-0.05127143859863281,459.0,0.0,0.0,0.0,"{'Dursley', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Dursley,Dudley asked Dursley,asked,Dudley asked Dursley dully late that afternoon .,0.6966346502304077,0.9990212917327881,-0.4565919041633606,14376.0,0.0,-0.2732,0.0,"{'Dursley', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Dursley,Dudley told Dursley,told,"Its Monday , Dudley told Dursley .",0.16138207912445068,-0.13295823335647583,0.15223479270935059,14422.0,0.0,0.0,0.0,"{'Dursley', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,Harry have never seen any reason to be frightened of saying Dudleys name,frightened,Harry have never seen any reason to be frightened of saying Dudleys name .,0.9731930494308472,-0.9994188051205128,0.9722318649291992,3745.0,-0.4404,-0.4404,-0.4404,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,Dudley had powers Harry will never have,had,Dudley had powers Harry will never have .,0.27871382236480713,0.9996227025985718,0.24762284755706787,3824.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,Dudley went to find Harry,find,Dudley went to find Harry .,0.6117222309112549,0.9998013973236084,-0.19295084476470947,4047.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Dudley tried to kill Harryson , Harry",tried,"Harryre saying Dudley tried to kill Harryson , Harry .",-0.9992516961065121,0.9995204210281372,-0.9688109438866377,4161.0,-0.6908,-0.6908,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Dudley tried to kill Harryson , Harry",kill,"Harryre saying Dudley tried to kill Harryson , Harry .",-0.9992516961065121,-0.9993694664444774,-0.9688109438866377,4161.0,-0.6908,-0.6908,-0.6908,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Harry and Harry slept on , not knowing Harry was special , not knowing Harry was famous , not knowing Harry would be woken in a few hours time by Harrys scream as Harry opened the front door to put out the milk bottles , nor that Harry would spend the next few weeks being prodded and pinched by Dudley",prodded,"One small hand closed on the letter beside Harry and Harry slept on , not knowing Harry was special , not knowing Harry was famous , not knowing Harry would be woken in a few hours time by Harrys scream as Harry opened the front door to put out the milk bottles , nor that Harry would spend the next few weeks being prodded and pinched by Dudley .",-0.718776524066925,-0.7354799211025238,-0.7840124666690826,5909.0,0.0,0.4939,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Harry and Harry slept on , not knowing Harry was special , not knowing Harry was famous , not knowing Harry would be woken in a few hours time by Harrys scream as Harry opened the front door to put out the milk bottles , nor that Harry would spend the next few weeks being prodded and pinched by Dudley",pinched,"One small hand closed on the letter beside Harry and Harry slept on , not knowing Harry was special , not knowing Harry was famous , not knowing Harry would be woken in a few hours time by Harrys scream as Harry opened the front door to put out the milk bottles , nor that Harry would spend the next few weeks being prodded and pinched by Dudley .",-0.718776524066925,-0.9771333448588848,-0.7840124666690826,5909.0,0.0,0.4939,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Dudley had gotten the new computer Harry wanted , not to mention the second television and the racing bike",gotten,"It looked as though Dudley had gotten the new computer Harry wanted , not to mention the second television and the racing bike .",0.9960856437683105,0.9997348785400391,0.9988067150115967,6537.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,Harry wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched,punched,Harry wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched Harry on the nose .,-0.9881153153255582,-0.9982947431271896,-0.9978470366913825,6699.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,Dudley looked like Harry,looked,Harry often said that Dudley looked like Harry - Harry often said that Dudley looked like a pig in a wig .,0.25853443145751953,0.9936122894287109,-0.9905640194192529,6965.0,0.3612,0.6124,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Dudley said , looking up at Harry and Harry",looking,"Thirty - six , Dudley said , looking up at Harry and Harry .",0.9819839000701904,0.9996346235275269,0.9973734617233276,7026.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Dudley , Dudley have nt counted Harrys present",counted,"Dudley , Dudley have nt counted Harrys present , see , its here under this big one from Mommy and Daddy .",-0.9374748840928078,0.9985600709915161,-0.6092128455638885,7053.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over",began,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over .",-0.251748263835907,0.9996174573898315,-0.28456181287765503,7103.0,-0.128,-0.128,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon",wolfing,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over .",-0.44377601146698,-0.49170154333114624,-0.28456181287765503,7103.0,-0.128,-0.128,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,"Dudley was nt really crying - it had been years since Dudleyd really cried - but Dudley knew that if Dudley screwed up Dudley face and wailed , Harry would give Harry anything Harry wanted",knew,"In fact , Dudley was nt really crying - it had been years since Dudleyd really cried - but Dudley knew that if Dudley screwed up Dudley face and wailed , Harry would give Harry anything Harry wanted .",-0.36427736282348633,0.999701738357544,-0.15078288316726685,7791.0,-0.8148,-0.8148,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,Harry was usually the one who held Harrys arms behind Harry backs while Dudley hit,hit,Harry was usually the one who held Harrys arms behind Harry backs while Dudley hit Harry .,-0.9396659769117832,0.999683141708374,-0.9734872616827488,7978.0,-0.0516,-0.0516,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
harry potter book 1,Dudley,Harry,Dudley gang had been chasing Harry,chasing,"Dudley gang had been chasing Harry as usual when , as much to Harrys surprise as anyone elses , there he was sitting on the chimney .",-0.9862684207037091,0.9996215105056763,0.6818408966064453,8455.0,0.0,0.2732,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1 - old
