,book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
0,huckleberry_finn,Aunt Sally,Sid,"Aunt Sally was that glad to see me she laughed and cried both , and hugged me , and give me one of them lickings of hern that do nt amount to shucks , and said shed serve Sid the same when he come",said,"When we got home Aunt Sally was that glad to see me she laughed and cried both , and hugged me , and give me one of them lickings of hern that do nt amount to shucks , and said shed serve Sid the same when he come .",0.981294513,0.99401927,0.956378102,137942,0.7269,0.7269,0,"{'Aunt Sally', 'Sid'}",Adventures of Huckleberry Finn
10,huckleberry_finn,Tom,Aunt Sally,"Tom went to counting the spoons and laying them out to one side , and I slid one of them up my sleeve , and Tom says : Why , Aunt Sally , there ai nt but nine spoons _ yet",says,"then we went and waited around the spoon - basket till we see Aunt Sally coming , and then Tom went to counting the spoons and laying them out to one side , and I slid one of them up my sleeve , and Tom says : Why , Aunt Sally , there ai nt but nine spoons _ yet _ .",-0.389970243,0.995099425,-0.383290529,126222,0,0,0,"{'Aunt Sally', 'Tom'}",Adventures of Huckleberry Finn
11,huckleberry_finn,Tom,Aunt Sally,Tom put on Aunt Sallys dress that he stole and was going,put,"We was feeling pretty good after breakfast , and took my canoe and went over the river a - fishing , with a lunch , and had a good time , and took a look at the raft and found her all right , and got home late to supper , and found them in such a sweat and worry they did nt know which end they was standing on , and made us go right off to bed the minute we was done supper , and would nt tell us what the trouble was , and never let on a word about the new letter , but did nt need to , because we knowed as much about it as anybody did , and as soon as we was half up stairs and her back was turned we slid for the cellar cupboard and loaded up a good lunch and took it up to our room and went to bed , and got up about half - past eleven , and Tom put on Aunt Sallys dress that he stole and was going to start with the lunch , but says : Where s the butter ?",-0.94888442,-0.942400564,-0.26788944,133854,0,0.743,0,"{'Aunt Sally', 'Tom'}",Adventures of Huckleberry Finn
4,huckleberry_finn,Jim,Huck,"By and by Jim says : But looky here , Huck , who wuz it datuz killed in dat shanty ef it warnt you",says,"By and by Jim says : But looky here , Huck , who wuz it datuz killed in dat shanty ef it warnt you ?",0.027564645,0.995099425,-0.303772986,20947,-0.8047,-0.8047,0,"{'Huck', 'Jim'}",Adventures of Huckleberry Finn
5,huckleberry_finn,Jim,Huck,"Jim sings out : Wes safe , Huck , wes safe",sings,"Jim sings out : Wes safe , Huck , wes safe !",0.995223284,0.999744892,0.997856736,44244,0.7003,0.7263,0,"{'Huck', 'Jim'}",Adventures of Huckleberry Finn
6,huckleberry_finn,Jim,Huck,"Jim says : Dah you goes , de ole true Huck",says,"When I was fifty yards off , Jim says : Dah you goes , de ole true Huck ;",0.764694333,0.995099425,0.663431048,44511,0.4215,0.4215,0,"{'Huck', 'Jim'}",Adventures of Huckleberry Finn
7,huckleberry_finn,Jim,Huck,"Jim says : Do nt it s prise you de way dem kings carries on , Huck",says,"By and by , when they was asleep and snoring , Jim says : Do nt it s prise you de way dem kings carries on , Huck ?",0.550236821,0.995099425,-0.898896866,75286,0,0,0,"{'Huck', 'Jim'}",Adventures of Huckleberry Finn
8,huckleberry_finn,Jim,Huck,"Jim forty dollars for being prisoner for us so patient , and doing it up so good , and Jim was pleased most to death , and busted out , and says : Dah , now , Huck , what I tell you",says,"and Tom give Jim forty dollars for being prisoner for us so patient , and doing it up so good , and Jim was pleased most to death , and busted out , and says : Dah , now , Huck , what I tell you ?",0.989846826,0.995099425,0.986070633,145175,-0.2587,-0.2587,0,"{'Huck', 'Jim'}",Adventures of Huckleberry Finn
9,huckleberry_finn,Jim,Huck,"Jim says , kind of solemn : He ai nt a - cominback no mo , Huck",says,"Jim says , kind of solemn : He ai nt a - cominback no mo , Huck .",-0.40088737,0.995099425,-0.303884804,145509,-0.4201,-0.4201,0,"{'Huck', 'Jim'}",Adventures of Huckleberry Finn
12,huckleberry_finn,Tom,Huck,"By and by Tom says : Looky here , Huck , what fools we are to not think of it before",says,"By and by Tom says : Looky here , Huck , what fools we are to not think of it before !",0.8993572,0.995099425,0.965267062,114583,-0.4939,-0.5411,0,"{'Huck', 'Tom'}",Adventures of Huckleberry Finn
13,huckleberry_finn,Tom,Jim,"Tom whispered to me , and wanted to tie Jim to the tree for fun",wanted,"When we was ten foot off Tom whispered to me , and wanted to tie Jim to the tree for fun .",-0.728762478,0.999777794,-0.54133454,2271,0.5106,0.5106,0,"{'Jim', 'Tom'}",Adventures of Huckleberry Finn
14,huckleberry_finn,Tom,Jim,"Tom whispered to me , and wanted to tie Jim",tie,"When we was ten foot off Tom whispered to me , and wanted to tie Jim to the tree for fun .",-0.125822186,0.997807264,-0.54133454,2271,0,0.5106,0,"{'Jim', 'Tom'}",Adventures of Huckleberry Finn
15,huckleberry_finn,Tom,Jim,Tom said he slipped Jims hat off of his head and hung it on a limb right over him,said,"Tom said he slipped Jims hat off of his head and hung it on a limb right over him , and Jim stirred a little , but he did nt wake .",-0.987499089,0.99401927,-0.997121397,2483,0,0,0,"{'Jim', 'Tom'}",Adventures of Huckleberry Finn
16,huckleberry_finn,Tom,Jim,"Tom said he was right behind Jims bed now , and we d dig in under it , and when we got through there could nt nobody in the cabin ever know there was any hole there , because Jims counter - pin hung down most to the ground , and you d have to raise it up and look under to see the hole",said,"Tom said he was right behind Jims bed now , and we d dig in under it , and when we got through there could nt nobody in the cabin ever know there was any hole there , because Jims counter - pin hung down most to the ground , and you d have to raise it up and look under to see the hole .",-0.729819983,0.99401927,-0.740198821,121383,0,0,0,"{'Jim', 'Tom'}",Adventures of Huckleberry Finn
17,huckleberry_finn,Tom,Jim,Tom jerked the door open and flung out a slab of Jims meat,flung,"Tom jerked the door open and flung out a slab of Jims meat , and the dogs went for it , and in two seconds he was out himself and back again and shut the door , and I knowed he d fixed the other door too .",0.245239973,-0.926229097,-0.337393045,123619,-0.2023,-0.2023,0,"{'Jim', 'Tom'}",Adventures of Huckleberry Finn
18,huckleberry_finn,Tom,Jim,"Tom thought of something , and says : You got any spiders in here , Jim",says,"But Tom thought of something , and says : You got any spiders in here , Jim ?",-0.565935045,0.995099425,-0.698090136,129226,0,0,0,"{'Jim', 'Tom'}",Adventures of Huckleberry Finn
