book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
harry potter book 1,Dudley,Dumbledore,"Dudley , chortled Dumbledore",chortled,"Dudley , chortled Dumbledore as Dumbledore left the house .",-0.20835143327713013,0.999060869216919,-0.14639413356781006,459.0,0.0,0.0,0.0,"{'Dumbledore', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Hagrid,Dudley looked a lot like Hagrid,looked,Dudley looked a lot like Hagrid .,-0.9842007327824831,0.9936122894287109,-0.9747625552117825,6926.0,0.3612,0.3612,0.0,"{'Hagrid', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Hagrid,Dudley whined at Hagrid,whined,"Make it move , Dudley whined at Hagrid .",-0.9969673992600292,-0.9910285389050841,-0.9963285264093429,9170.0,-0.2263,-0.2263,-0.2263,"{'Hagrid', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Hagrid,"Dudleyd screamed , whacked Hagrid",screamed,"Dudleyd screamed , whacked Hagrid with Dudley Smelting stick , been sick on purpose , kicked Harry , and thrown Dudley tortoise through the greenhouse roof , and Dudley still did nt have Dudley room back .",-0.9772486928850412,-0.9922637906856835,-0.9858682947233319,12746.0,-0.3182,-0.6808,-0.3182,"{'Hagrid', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Hagrid,"Dudleyd screamed , whacked Hagrid",whacked,"Dudleyd screamed , whacked Hagrid with Dudley Smelting stick , been sick on purpose , kicked Harry , and thrown Dudley tortoise through the greenhouse roof , and Dudley still did nt have Dudley room back .",-0.9772486928850412,-0.9966405516024679,-0.9858682947233319,12746.0,-0.3182,-0.6808,0.0,"{'Hagrid', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Harry and Harry slept on , not knowing Harry was special , not knowing Harry was famous , not knowing Harry would be woken in a few hours time by Harrys scream as Harry opened the front door to put out the milk bottles , nor that Harry would spend the next few weeks being prodded and pinched by Dudley",prodded,"One small hand closed on the letter beside Harry and Harry slept on , not knowing Harry was special , not knowing Harry was famous , not knowing Harry would be woken in a few hours time by Harrys scream as Harry opened the front door to put out the milk bottles , nor that Harry would spend the next few weeks being prodded and pinched by Dudley .",-0.718777060508728,-0.7354802191257477,-0.7840126603841782,5909.0,0.0,0.4939,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Harry and Harry slept on , not knowing Harry was special , not knowing Harry was famous , not knowing Harry would be woken in a few hours time by Harrys scream as Harry opened the front door to put out the milk bottles , nor that Harry would spend the next few weeks being prodded and pinched by Dudley",pinched,"One small hand closed on the letter beside Harry and Harry slept on , not knowing Harry was special , not knowing Harry was famous , not knowing Harry would be woken in a few hours time by Harrys scream as Harry opened the front door to put out the milk bottles , nor that Harry would spend the next few weeks being prodded and pinched by Dudley .",-0.718777060508728,-0.9771334398537874,-0.7840126603841782,5909.0,0.0,0.4939,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Dudleys favorite punching bag was Harry , but Dudley could nt often catch",catch,"Dudleys favorite punching bag was Harry , but Dudley could nt often catch Harry .",-0.9352599009871483,0.9997713565826416,-0.9593072272837162,6591.0,0.25,0.25,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,Harry wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched,punched,Harry wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched Harry on the nose .,-0.988115344196558,-0.9982947480166331,-0.9978470315691084,6699.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Dudley said , looking up at Harry and father",looking,"Thirty - six , Dudley said , looking up at Harry and father .",0.9805753231048584,0.9996346235275269,0.9973934888839722,7026.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over",began,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over .",-0.25174784660339355,0.9996174573898315,-0.2845621705055237,7103.0,-0.128,-0.128,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon",wolfing,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down Harry bacon as fast as possible in case Dudley turned the table over .",-0.4437752366065979,-0.49170106649398804,-0.2845621705055237,7103.0,-0.128,-0.128,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Dudley was nt really crying - it had been years since Dudleyd really cried - but Dudley knew that if Dudley screwed up Dudley face and wailed , Harry would give Dudley anything he wanted",knew,"In fact , Dudley was nt really crying - it had been years since Dudleyd really cried - but Dudley knew that if Dudley screwed up Dudley face and wailed , Harry would give Dudley anything he wanted .",-0.20168262720108032,0.999701738357544,-0.13315343856811523,7791.0,-0.8148,-0.8148,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,Dudleys gang had been chasing Harry,chasing,"Dudleys gang had been chasing Harry as usual when , as much to Harrys surprise as anyone elses , there Harry was sitting on the chimney .",-0.5099194347858429,0.9996215105056763,0.6797897815704346,8455.0,0.0,0.2732,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Harry stuff peoples heads down the toilet the first day at Stonewall , Dudley told",told,"Harry stuff peoples heads down the toilet the first day at Stonewall , Dudley told Harry .",-0.9993458119570278,-0.13295644521713257,-0.9991181094083004,10655.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,Dudley could work out what Harryd said,work,"Then Harry ran , before Dudley could work out what Harryd said .",0.6030281782150269,0.9997210502624512,-0.9974114315118641,10716.0,0.0,0.0,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,Dudley bawling at Harry,bawling,"From downstairs came the sound of Dudley bawling at Harry , Dudley do nt want him in there .",-0.9699509181082249,-0.9991775909438729,-0.9865747028961778,12651.0,0.0,0.0772,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,"Dudleyd screamed , whacked Hagrid with Dudley Smelting stick , been sick on purpose , kicked Harry",kicked,"Dudleyd screamed , whacked Hagrid with Dudley Smelting stick , been sick on purpose , kicked Harry , and thrown Dudley tortoise through the greenhouse roof , and Dudley still did nt have Dudley room back .",-0.9903298979625106,-0.9974484778940678,-0.9858682947233319,12746.0,-0.6808,-0.6808,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dudley,Harry,Dudley asked Harry,asked,Dudley asked Harry in amazement .,-0.10691219568252563,0.9990212917327881,0.9201613664627075,13630.0,0.0,0.5423,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
