book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
peter_pan,Cecco,John,"John could lie doubled up , said Cecco",said,"John could lie doubled up , said Cecco .",-0.9627472460269928,0.9940192699432373,-0.9682709611952305,55082.0,0.0,0.0,0.0,"{'Cecco', 'John'}",Peter Pan
peter_pan,George,John,George used to boast to Wendy that John not only loved George but respected George,boast,George used to boast to Wendy that John not only loved George but respected George .,0.9973089694976807,-0.9976436751894653,0.9958282709121704,349.0,0.4726,0.4726,0.0,"{'George', 'John'}",Peter Pan
peter_pan,George,John,"George quite seemed to know , and George often said stocks were up and shares were down in a way that would have made John respect George",said,"Of course John really knows , but George quite seemed to know , and George often said stocks were up and shares were down in a way that would have made John respect George .",0.9903595447540283,0.9940192699432373,0.9295523166656494,382.0,0.6486,0.7876,0.0,"{'George', 'John'}",Peter Pan
peter_pan,George,John,"George was frightfully proud of Wendy , but George was very honourable , and George sat on the edge of Johns bed , holding John hand",holding,"George was frightfully proud of Wendy , but George was very honourable , and George sat on the edge of Johns bed , holding John hand and calculating expenses , while John looked at George imploringly .",0.996658205986023,0.9996424913406372,0.968177318572998,535.0,0.8776,0.8776,0.0,"{'George', 'John'}",Peter Pan
peter_pan,George,John,"George have put down , but George daresay it will be more like thirty shillings do nt speak measles one five , German measles half a guinea , makes two fifteen six do nt waggle John finger whooping - cough , say fifteen shillings and so on",daresay,"Mumps one pound , that is what George have put down , but George daresay it will be more like thirty shillings do nt speak measles one five , German measles half a guinea , makes two fifteen six do nt waggle John finger whooping - cough , say fifteen shillings and so on it went , and it added up differently each time ;",-0.9339525252580643,0.9986419677734375,-0.6107835173606873,834.0,0.5704,0.5704,0.0,"{'George', 'John'}",Peter Pan
peter_pan,George,John,George had a passion for being exactly like John,had,"John loved to have everything just so , and George had a passion for being exactly like John ;",0.9991544485092163,0.9996227025985718,0.9975758790969849,982.0,0.6705,0.8555,0.0,"{'George', 'John'}",Peter Pan
peter_pan,George,John,"George knew it , yet George sometimes wondered uneasily whether John talked",wondered,"No nursery could possibly have been conducted more correctly , and George knew it , yet George sometimes wondered uneasily whether John talked .",-0.8723918348550797,0.18416285514831543,0.11960160732269287,1389.0,-0.34,-0.5574,0.0,"{'George', 'John'}",Peter Pan
peter_pan,George,John,"George words , George said , it is some nonsense Wendy has been putting into John heads",said,"Mark George words , George said , it is some nonsense Wendy has been putting into John heads ;",-0.998816643608734,0.9940192699432373,-0.9931097934022546,2639.0,-0.4019,-0.4019,0.0,"{'George', 'John'}",Peter Pan
peter_pan,George,John,George thought John was not sufficiently impressed,thought,"George thought John was not sufficiently impressed , and George went on sternly , I warn John of this , mother , that unless this tie is round George neck John do nt go out to dinner to - night , and if George do nt go out to dinner to - night , George never go to the office again , and if George do nt go to the office again , you and George starve , and John will be flung into the streets .",-0.9980378355830908,0.9996993541717529,-0.9826428443193436,5054.0,-0.3724,-0.7054,0.0,"{'George', 'John'}",Peter Pan
peter_pan,George,John,George thanked John,thanked,"George thanked John carelessly , at once forgot George rage , and in another moment was dancing round the room with Michael on George back .",0.9995757341384888,0.999744176864624,-0.6010262072086334,5234.0,0.4404,-0.4019,0.4404,"{'George', 'John'}",Peter Pan
