book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
harry potter book 1,Dudley,Harry,Dudley asked Harry,asked,Dudley asked Harry in amazement .,-0.10691118240356445,0.9990212917327881,0.9201616048812866,13630.0,0.0,0.5423,0.0,"{'Harry', 'Dudley'}",Harry Potter Book 1
harry potter book 1,Dumbledore,Harry,Dumbledore took Harry,took,Dumbledore took Harry in his arms and turned toward the Dursleys house .,-0.9974402419757098,0.18744897842407227,0.9979609251022339,5349.0,0.0,0.0,0.0,"{'Harry', 'Dumbledore'}",Harry Potter Book 1
harry potter book 1,Dumbledore,Harry,Dumbledore smiled at the look of amazement on Harrys face,smiled,Dumbledore smiled at the look of amazement on Harrys face .,0.9996652603149414,0.9997587203979492,0.999642014503479,98903.0,0.7906,0.7906,0.5423,"{'Harry', 'Dumbledore'}",Harry Potter Book 1
harry potter book 1,Hagrid,Harry,Hagrid stared wildly at Harry,stared,Hagrid stared wildly at Harry .,0.9734810590744019,0.9856077432632446,0.9871561527252197,16653.0,0.0,0.0,0.0,"{'Harry', 'Hagrid'}",Harry Potter Book 1
harry potter book 1,Hagrid,Harry,"Hagrid ran his fingers through his hair , fixing Harry",fixing,"Hagrid ran his fingers through his hair , fixing Harry with a bewildered stare .",-0.5299193263053894,0.9996652603149414,-0.9040484055876732,16723.0,0.0,0.0,0.0,"{'Harry', 'Hagrid'}",Harry Potter Book 1
harry potter book 1,Hagrid,Harry,Hagrid looked at Harry,looked,"Hagrid looked at Harry with warmth and respect blazing in his eyes , but Harry , instead of feeling pleased and proud , felt quite sure there had been a horrible mistake .",0.5573147535324097,0.9936122894287109,-0.9986611937638372,19329.0,0.0,0.8095,0.0,"{'Harry', 'Hagrid'}",Harry Potter Book 1
harry potter book 1,Hagrid,Harry,"Hagrid read his newspaper , the Daily Prophet Harry had learned from Uncle Vernon that people liked to be left alone while they did this",read,"Harry sat and thought about this while Hagrid read his newspaper , the Daily Prophet Harry had learned from Uncle Vernon that people liked to be left alone while they did this , but it was very difficult , he d never had so many questions in his life .",-0.9322606176137924,0.9979761838912964,0.08131194114685059,21459.0,0.2023,-0.5089,0.0,"{'Harry', 'Hagrid'}",Harry Potter Book 1
harry potter book 1,Hagrid,Harry,"Hagrid , clapping his great hand on Harrys shoulder and making Harrys knees buckle",making,"Ca nt , Tom , I m on Hogwarts business , said Hagrid , clapping his great hand on Harrys shoulder and making Harrys knees buckle .",0.5106139183044434,0.9997513294219971,0.07410061359405518,22685.0,0.8074,0.8074,0.0,"{'Harry', 'Hagrid'}",Harry Potter Book 1
harry potter book 1,Hagrid,Harry,Hagrid grinned at Harry,grinned,Hagrid grinned at Harry .,0.9962978363037109,0.9993581771850586,0.9948880672454834,23313.0,0.2732,0.2732,0.2732,"{'Harry', 'Hagrid'}",Harry Potter Book 1
harry potter book 1,Hagrid,Harry,Hagrid helped Harry pile some of it into a bag,helped,Hagrid helped Harry pile some of it into a bag .,-0.9522885419428349,0.9997687339782715,-0.934598483145237,24884.0,0.0,0.0,0.0,"{'Harry', 'Hagrid'}",Harry Potter Book 1
