book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
dracula,Arthur,Lucy,"Arthur spoke to Mina , Lucy",spoke,"Arthur spoke to Mina , Lucy , very straightforwardly .",0.9991227388381958,0.9959455728530884,0.9997293949127197,28312.0,0.0,0.0,0.0,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,Lucy was a hell - cat that hated Arthur because Arthur was acrewkd - a regular lamiter Arthur was - anArthur,hated,But that s because ye do nt gawm Lucy was a hell - cat that hated Arthur because Arthur was acrewkd - a regular lamiter Arthur was - anArthur hated Lucy so that Arthur committed suicide in order that Lucy might nt get an insurance Lucy put on Arthur life .,-0.9886496998369694,-0.999362395668868,-0.9594264328479767,33693.0,-0.8689,-0.9781,-0.6369,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,anArthur did nt want to addle where Lucy was,want,"And , as to hopes of a glorious resurrection , I ve often heard Arthur say maselthat Arthur hoped Arthurd go to hell , for Lucy was so pious that Lucyd be sure to go to heaven , anArthur did nt want to addle where Lucy was .",-0.90566336363554,0.9997830390930176,-0.3948410749435425,33807.0,0.0772,0.872,0.0772,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,anArthur did nt want to addle where Lucy was,addle,"And , as to hopes of a glorious resurrection , I ve often heard Arthur say maselthat Arthur hoped Arthurd go to hell , for Lucy was so pious that Lucyd be sure to go to heaven , anArthur did nt want to addle where Lucy was .",-0.90566336363554,-0.0777927041053772,-0.3948410749435425,33807.0,0.0772,0.872,0.0,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,Lucys system must have undergone that what weakened Arthur only partially restored,restored,It gave Madam Mina an idea of what a terrible strain Lucys system must have undergone that what weakened Arthur only partially restored Lucy .,-0.5862392783164978,0.9997692108154297,-0.47885382175445557,61832.0,0.0258,-0.4939,0.34,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,"Arthur was very pale , and Arthur eyes seemed bulging out as , half in terror and half in amazement , Arthur gazed at a tall , thin man , with a beaky nose and black moustache and pointed beard , who was also observing Lucy",half in terror and half in amazement,"Arthur was very pale , and Arthur eyes seemed bulging out as , half in terror and half in amazement , Arthur gazed at a tall , thin man , with a beaky nose and black moustache and pointed beard , who was also observing Lucy .",0.5617657899856567,0.9910510778427124,0.6228415966033936,86608.0,0.0258,0.0258,0.0258,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,"Arthur , who , poor fellow , was speaking of Arthur part in the operation where his blood had been transfused to Lucys veins",speaking,"When it was all over , Mina were standing beside Arthur , who , poor fellow , was speaking of Arthur part in the operation where his blood had been transfused to Lucys veins ;",-0.8788482695817947,0.9996393918991089,0.3185988664627075,87652.0,-0.4767,-0.4767,0.0,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,Lucy am rejoiced that he is not now weighed down with the responsibility of Arthur new position,rejoiced,"and oh , Lucy am rejoiced that he is not now weighed down with the responsibility of Arthur new position .",0.9974100589752197,0.9997639656066895,0.9978939294815063,89848.0,0.4588,0.4588,0.4588,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,"Arthur said to Van Helsing:-Is this really Lucys body , or only a demon in Lucy shape",said,"Presently Arthur said to Van Helsing:-Is this really Lucys body , or only a demon in Lucy shape ?",-0.9878812227398157,0.9940192699432373,-0.7865700721740723,107966.0,0.0,0.0,0.0,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,"Arthur saw , too , what Mina all did , the infinite kindness which suggested that Arthur should be the hand which would restore Lucy to Mina as a holy , and not an unholy , memory",saw,"Arthur saw , too , what Mina all did , the infinite kindness which suggested that Arthur should be the hand which would restore Lucy to Mina as a holy , and not an unholy , memory ;",0.9994412660598755,0.9969500303268433,0.9993815422058105,108758.0,0.8126,0.8126,0.0,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,"Arthur raised Arthur head Van Helsing said to Arthur:-And now , Van Helsing child , Arthur may kiss Lucy",kiss,"When Arthur raised Arthur head Van Helsing said to Arthur:-And now , Van Helsing child , Arthur may kiss Lucy .",0.9850671291351318,0.9997141361236572,0.9360852241516113,109727.0,0.4215,0.4215,0.4215,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Lucy,Arthur bent and kissed Lucy,kissed,"Arthur bent and kissed Lucy , and then Mina sent Arthur and Quincey out of the tomb ;",0.9982936382293701,0.9997179508209229,0.08215188980102539,109817.0,0.3818,0.3818,0.3818,"{'Lucy', 'Arthur'}",Dracula
dracula,Arthur,Madam Mina,Arthur says Madam Mina am getting fat,says,Arthur says Madam Mina am getting fat .,-0.7745749056339264,0.9950994253158569,-0.7420778870582581,53906.0,0.0,0.0,0.0,"{'Madam Mina', 'Arthur'}",Dracula
dracula,Arthur,Madam Mina,Arthur tells Madam Mina that Arthur loves Madam Mina more,tells,"Arthur tells Madam Mina that Arthur loves Madam Mina more , but Madam Mina doubt that , for at first Arthur told Madam Mina that Arthur could nt love Madam Mina more than Arthur did then .",0.2870410680770874,0.9995423555374146,-0.6078626215457916,53955.0,0.5719,0.7096,0.0,"{'Madam Mina', 'Arthur'}",Dracula
dracula,Arthur,Madam Mina,Arthur tells Madam Mina that Arthur loves,loves,"Arthur tells Madam Mina that Arthur loves Madam Mina more , but Madam Mina doubt that , for at first Arthur told Madam Mina that Arthur could nt love Madam Mina more than Arthur did then .",0.9993460178375244,0.9997696876525879,-0.6078626215457916,53955.0,0.5719,0.7096,0.5719,"{'Madam Mina', 'Arthur'}",Dracula
dracula,Arthur,Madam Mina,"Arthur tells Madam Mina that Arthur loves Madam Mina more , but Madam Mina doubt that , for at first Arthur told Madam Mina that Arthur could nt love Madam Mina more than Arthur did then",told,"Arthur tells Madam Mina that Arthur loves Madam Mina more , but Madam Mina doubt that , for at first Arthur told Madam Mina that Arthur could nt love Madam Mina more than Arthur did then .",-0.6098096072673798,-0.13295823335647583,-0.6078626215457916,53955.0,0.7096,0.7096,0.0,"{'Madam Mina', 'Arthur'}",Dracula
dracula,Arthur,Madam Mina,Arthur tells Madam Mina that Arthur love,love,"Arthur tells Madam Mina that Arthur loves Madam Mina more , but Madam Mina doubt that , for at first Arthur told Madam Mina that Arthur could nt love Madam Mina more than Arthur did then .",0.9934831857681274,0.9996671676635742,-0.6078626215457916,53955.0,0.6369,0.7096,0.6369,"{'Madam Mina', 'Arthur'}",Dracula
